# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       4.116595352366e+11       4.461023365819e-21       1.126099959947e-06       3.655622978776e+17       1.424847712790e+04       3.461228493026e-08       5.865521472315e+15       6.501538740431e-07       7.901672796501e+34       1.736297774478e+26       9.128101363078e+26       1.817579576540e+34       6.058598588468e+33       3.483571410310e-08       3.644326881271e+34       1.336357936296e+35       1.336357936296e+35       4.454526418104e+34      -1.582285139994e+41       6.684545805844e-05       1.668688976722e-01 
       4.072583117950e+11       4.557964554531e-21       1.138268999057e-06       3.577873266180e+17       1.424847712789e+04       3.498633843728e-08       5.802810740767e+15       6.571800595914e-07       7.569133251506e+34       1.681200615614e+26       8.838443414814e+26       1.741087281688e+34       5.803624272294e+33       3.483571410310e-08       3.490956470457e+34       1.280117710885e+35       1.280117710885e+35       4.267059001217e+34      -1.499490213800e+41       6.696535678193e-05       1.665701258855e-01 
       4.029041436651e+11       4.657012341982e-21       1.150570824393e-06       3.501777175375e+17       1.424847712788e+04       3.536443432481e-08       5.740770475754e+15       6.642821768268e-07       7.250588534167e+34       1.627851830191e+26       8.557977052363e+26       1.667814142271e+34       5.559380474236e+33       3.483571410310e-08       3.344040607680e+34       1.226244338598e+35       1.226244338598e+35       4.087481094706e+34      -1.421027629249e+41       6.708525550550e-05       1.662724220641e-01 
       3.985965277592e+11       4.758212509759e-21       1.163005435956e-06       3.427299536261e+17       1.424847712786e+04       3.574661627870e-08       5.679393509037e+15       6.714610463485e-07       6.945449676333e+34       1.576195937858e+26       8.286410603254e+26       1.597624681091e+34       5.325415603636e+33       3.483571410310e-08       3.203307655207e+34       1.174638211126e+35       1.174638211126e+35       3.915460670877e+34      -1.346670691484e+41       6.720515422917e-05       1.659757804945e-01 
       3.943349663679e+11       4.861611826482e-21       1.175572833745e-06       3.354405926758e+17       1.424847712785e+04       3.613292845687e-08       5.618672749019e+15       6.787174976058e-07       6.653152496402e+34       1.526179218799e+26       8.023461650526e+26       1.530389122468e+34       5.101297074895e+33       3.483571410310e-08       3.068497407102e+34       1.125203912147e+35       1.125203912147e+35       3.750679675324e+34      -1.276204567719e+41       6.732505295294e-05       1.656801954988e-01 
       3.901189671033e+11       4.967258085626e-21       1.188276655739e-06       3.283062656890e+17       1.424847712784e+04       3.652341549451e-08       5.558601179921e+15       6.860523690313e-07       6.373156556186e+34       1.477749657862e+26       7.768856739030e+26       1.465983152295e+34       4.886610507650e+33       3.483571410310e-08       2.939360608116e+34       1.077850040906e+35       1.077850040906e+35       3.592833438866e+34      -1.209425666547e+41       6.744495167680e-05       1.653856614448e-01 
       3.859480428417e+11       5.075200111152e-21       1.201118720928e-06       3.213236753217e+17       1.424847712783e+04       3.691812250913e-08       5.499171860973e+15       6.934665081000e-07       6.104944161677e+34       1.430856890470e+26       7.522331091047e+26       1.404287688184e+34       4.680958960613e+33       3.483571410310e-08       2.815658492833e+34       1.032489043223e+35       1.032489043223e+35       3.441630114231e+34      -1.146141049720e+41       6.756485040075e-05       1.650921727354e-01 
       3.818217116675e+11       5.185487793633e-21       1.214099029312e-06       3.144895943598e+17       1.424847712781e+04       3.731709510585e-08       5.440377925611e+15       7.009607714584e-07       5.848019405865e+34       1.385452150244e+26       7.283628330930e+26       1.345188659295e+34       4.483962197650e+33       3.483571410310e-08       2.697162344209e+34       9.890370496060e+34       9.890370496060e+34       3.296790136456e+34      -1.086167874711e+41       6.768474912480e-05       1.647997238165e-01 
       3.777394968174e+11       5.298172105517e-21       1.227221218869e-06       3.078008642271e+17       1.424847712780e+04       3.772037938264e-08       5.382212580684e+15       7.085360250057e-07       5.601907251839e+34       1.341488218283e+26       7.052500218485e+26       1.288576795426e+34       4.295255984752e+33       3.483571410310e-08       2.583653070690e+34       9.474137201895e+34       9.474137201895e+34       3.158045705985e+34      -1.029332866442e+41       6.780464784896e-05       1.645083091720e-01 
       3.737009266255e+11       5.413305126134e-21       1.240483470610e-06       3.012543935257e+17       1.424847712779e+04       3.812802193564e-08       5.324669105671e+15       7.161931439968e-07       5.366152654477e+34       1.298919374065e+26       6.828706390813e+26       1.234347424977e+34       4.114491416591e+33       3.483571410310e-08       2.474920801121e+34       9.075420961851e+34       9.075420961851e+34       3.025140293525e+34      -9.754718166559e+40       6.792454657321e-05       1.642179233242e-01 
       3.697055344686e+11       5.530940070019e-21       1.253889422514e-06       2.948471566071e+17       1.424847712777e+04       3.854006986456e-08       5.267740851901e+15       7.239330131534e-07       5.140319719090e+34       1.257701347896e+26       6.612014112344e+26       1.182400281424e+34       3.941334271415e+33       3.483571410310e-08       2.370764496716e+34       8.693484575927e+34       8.693484575927e+34       2.897828165743e+34      -9.244291094870e+40       6.804444529756e-05       1.639285608361e-01 
