# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.153508156532e+08       5.681528467342e-14       4.018750620162e-03       2.870336722432e+10       1.410655343679e+04       1.222926186921e-04       1.627202459096e+12       2.320223341191e-03       4.871346459253e+20       3.820073254214e+15       2.069775465521e+16       1.120529799528e+20       3.735099331754e+19       3.443516008292e-08       2.246711463084e+20       8.238832900144e+20       8.238832900144e+20       2.746195907288e+20      -2.733403087515e+23       1.533662162155e-04       7.059598009842e-02 
       1.141175520584e+08       5.804991470911e-14       4.062180763867e-03       2.809289342660e+10       1.410655339336e+04       1.236142294967e-04       1.609805355338e+12       2.345297671392e-03       4.666337295144e+20       3.698852582244e+15       2.004096208590e+16       1.073372636825e+20       3.577908789411e+19       3.443516008292e-08       2.152159280665e+20       7.892106610780e+20       7.892106610780e+20       2.630623070877e+20      -2.590374980714e+23       1.534825962228e-04       7.054292073354e-02 
       1.128974737980e+08       5.931137392321e-14       4.106080246856e-03       2.749540345847e+10       1.410655334946e+04       1.249501228854e-04       1.592594251258e+12       2.370642973918e-03       4.469955880615e+20       3.581478551513e+15       1.940501122075e+16       1.028200069262e+20       3.427333564202e+19       3.443516008292e-08       2.061586298667e+20       7.559972113442e+20       7.559972113442e+20       2.519914082848e+20      -2.454830969870e+23       1.535989770115e-04       7.048994686904e-02 
       1.116904399022e+08       6.060024532621e-14       4.150454142291e-03       2.691062117355e+10       1.410655330509e+04       1.263004532093e-04       1.575567158255e+12       2.396262177047e-03       4.281839119396e+20       3.467829098279e+15       1.878924069929e+16       9.849285757439e+19       3.283095252475e+19       3.443516008292e-08       1.974825053627e+20       7.241815319465e+20       7.241815319465e+20       2.413864249588e+20      -2.326379441619e+23       1.537153585906e-04       7.043705837027e-02 
       1.104963109081e+08       6.191712459792e-14       4.195307576083e-03       2.633827629865e+10       1.410655326023e+04       1.276653764875e-04       1.558722108992e+12       2.422158240704e-03       4.101639196016e+20       3.357786032193e+15       1.819301014773e+16       9.434781501358e+19       3.144927167115e+19       3.443516008292e-08       1.891715129730e+20       6.937047983843e+20       6.937047983843e+20       2.312277491960e+20      -2.204649274196e+23       1.538317409693e-04       7.038425510366e-02 
       1.093149488442e+08       6.326262036158e-14       4.240645732352e-03       2.577810430890e+10       1.410655321490e+04       1.290450504254e-04       1.542057157161e+12       2.448334156797e-03       3.929022932712e+20       3.251234913388e+15       1.761569951297e+16       9.037721533375e+19       3.012573844454e+19       3.443516008292e-08       1.812102862213e+20       6.645106617607e+20       6.645106617607e+20       2.214965982754e+20      -2.089288765186e+23       1.539481241567e-04       7.033153693674e-02 
       1.081462172138e+08       6.463735446596e-14       4.286473849788e-03       2.522984630547e+10       1.410655316907e+04       1.304396344325e-04       1.525570377267e+12       2.474792949566e-03       3.763671173411e+20       3.148064933468e+15       1.705670841775e+16       8.657371715823e+19       2.885790571937e+19       3.443516008292e-08       1.735841053251e+20       6.365451445979e+20       6.365451445979e+20       2.121749799415e+20      -1.979964615390e+23       1.540645081624e-04       7.027890373813e-02 
       1.069899809798e+08       6.604196227350e-14       4.332797219831e-03       2.469324889593e+10       1.410655312274e+04       1.318492896410e-04       1.509259864400e+12       2.501537675930e-03       3.605278193627e+20       3.048168800268e+15       1.651545553636e+16       8.293028807002e+19       2.764342935663e+19       3.443516008292e-08       1.662788699794e+20       6.097565410365e+20       6.097565410365e+20       2.032456591373e+20      -1.876360965849e+23       1.541808929958e-04       7.022635537756e-02 
       1.058461065486e+08       6.747709295316e-14       4.379621197586e-03       2.416806407712e+10       1.410655307592e+04       1.332741789247e-04       1.493123734015e+12       2.528571425845e-03       3.453551135197e+20       2.951442626277e+15       1.599137799000e+16       7.944019160926e+19       2.648006386971e+19       3.443516008292e-08       1.592810732863e+20       5.840953212359e+20       5.840953212359e+20       1.946921261384e+20      -1.778178485274e+23       1.542972786664e-04       7.017389172587e-02 
       1.047144617551e+08       6.894340978116e-14       4.426951192727e-03       2.365404912054e+10       1.410655302859e+04       1.347144669173e-04       1.477160121716e+12       2.555897322653e-03       3.308209464807e+20       2.857785820602e+15       1.548393076146e+16       7.609697481803e+19       2.536565827263e+19       3.443516008292e-08       1.525777767818e+20       5.595140397971e+20       5.595140397971e+20       1.864985660268e+20      -1.685133505206e+23       1.544136651840e-04       7.012151265503e-02 
